"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","MEGAHIT-MetaBAT2-ERR2143759.7","MEGAHIT-MetaBAT2-ERR2143760.4","SPAdes-MetaBAT2-ERR2143759.4","SPAdes-MetaBAT2-ERR2143760.5"
"group_139","","hypothetical protein","4","4","1","289","2","","","Investigate","2882","4898","4254","KKNACEHJ_01925","OJEIIDGO_02742","EDDCBIGE_02922","KOKFBEGO_02936"
"group_140","","hypothetical protein","4","4","1","203","3","","","","176","812","543","KKNACEHJ_01927","OJEIIDGO_03055","EDDCBIGE_01989","KOKFBEGO_01866"
"group_141","","hypothetical protein","4","4","1","93","8","","","","2525","3308","2941","KKNACEHJ_01979","OJEIIDGO_01880","EDDCBIGE_01287","KOKFBEGO_02382"
"group_142","","hypothetical protein","4","4","1","11","39","","","","470","5024","2778","KKNACEHJ_02060","OJEIIDGO_01982","EDDCBIGE_02373","KOKFBEGO_00643"
"group_143","acdA_3","Acyl-CoA dehydrogenase","4","4","1","23","16","","","","266","1226","772","KKNACEHJ_02074","OJEIIDGO_03831","EDDCBIGE_03411","KOKFBEGO_03683"
"group_144","","hypothetical protein","4","4","1","20","40","","","","1229","4016","2692","KKNACEHJ_02088","OJEIIDGO_01434","EDDCBIGE_00205","KOKFBEGO_00231"
"pqqE","","PqqA peptide cyclase","4","4","1","45","11","","","","506","1067","804","KKNACEHJ_02110","OJEIIDGO_00039","EDDCBIGE_03249","KOKFBEGO_03314"
"rep","","ATP-dependent DNA helicase Rep","4","4","1","102","16","","","","2255","3155","2930","KKNACEHJ_02118","OJEIIDGO_03393","EDDCBIGE_00866","KOKFBEGO_02781"
"walK","","Sensor protein kinase WalK","4","4","1","102","14","","","","347","1019","740","KKNACEHJ_02120","OJEIIDGO_03391","EDDCBIGE_00864","KOKFBEGO_02779"
"mdtC_1","","Multidrug resistance protein MdtC","4","4","1","14","2","","","","2483","2999","2771","KKNACEHJ_02392","OJEIIDGO_02941","EDDCBIGE_03212","KOKFBEGO_00184"
"pycA","","Pyruvate carboxylase","4","4","1","13","40","","","","167","3446","2417","KKNACEHJ_02416","OJEIIDGO_00029","EDDCBIGE_00033","KOKFBEGO_00124"
"group_151","","hypothetical protein","4","4","1","218","4","","","","1832","4280","2877","KKNACEHJ_02423","OJEIIDGO_00234","EDDCBIGE_02120","KOKFBEGO_01528"
"group_152","","hypothetical protein","4","4","1","5","53","","","","644","1757","1046","KKNACEHJ_02484","OJEIIDGO_01101","EDDCBIGE_01132","KOKFBEGO_00997"
"group_153","","hypothetical protein","4","4","1","105","11","","","","1616","2645","2144","KKNACEHJ_02509","OJEIIDGO_00903","EDDCBIGE_03259","KOKFBEGO_03373"
"group_156","","hypothetical protein","4","4","1","115","11","","","","1469","3380","2556","KKNACEHJ_02659","OJEIIDGO_00380","EDDCBIGE_02762","KOKFBEGO_02697"
"group_158","","hypothetical protein","4","4","1","223","5","","","","8099","9347","8981","KKNACEHJ_02765","OJEIIDGO_03667","EDDCBIGE_01296","KOKFBEGO_01203"
"infB","","Translation initiation factor IF-2","4","4","1","2","32","","","","2069","3584","2800","KKNACEHJ_02954","OJEIIDGO_01523","EDDCBIGE_00423","KOKFBEGO_00735"
"ycf3_4","","hypothetical protein","4","4","1","2","12","","","","848","1364","1106","KKNACEHJ_02963","OJEIIDGO_02453","EDDCBIGE_03179","KOKFBEGO_01160"
"group_165","","hypothetical protein","4","4","1","94","11","","","","989","1646","1463","KKNACEHJ_02987","OJEIIDGO_03589","EDDCBIGE_00790","KOKFBEGO_02586"
"group_166","","hypothetical protein","4","4","1","28","27","","","","1148","3302","2699","KKNACEHJ_03012","OJEIIDGO_02900","EDDCBIGE_00584","KOKFBEGO_00302"
"group_167","","hypothetical protein","4","4","1","114","9","","","","698","2654","1712","KKNACEHJ_03027","OJEIIDGO_01469","EDDCBIGE_02819","KOKFBEGO_01349"
"group_1675","","hypothetical protein","4","4","1","23","31","","","","407","407","407","KKNACEHJ_00431","OJEIIDGO_03887","EDDCBIGE_00750","KOKFBEGO_00669"
"group_1676","","hypothetical protein","4","4","1","154","7","","","","1133","1133","1133","KKNACEHJ_00368","OJEIIDGO_00794","EDDCBIGE_01444","KOKFBEGO_01935"
"cmk","","Cytidylate kinase","4","4","1","108","10","","","","683","683","683","KKNACEHJ_00722","OJEIIDGO_01681","EDDCBIGE_01821","KOKFBEGO_01730"
"group_1678","","hypothetical protein","4","4","1","34","3","","","","875","875","875","KKNACEHJ_01400","OJEIIDGO_03272","EDDCBIGE_03150","KOKFBEGO_00589"
"group_1679","","hypothetical protein","4","4","1","230","4","","","","554","554","554","KKNACEHJ_02670","OJEIIDGO_02098","EDDCBIGE_03219","KOKFBEGO_03149"
"group_168","","hypothetical protein","4","4","1","285","1","","","Investigate","170","491","325","KKNACEHJ_03176","OJEIIDGO_02448","EDDCBIGE_03713","KOKFBEGO_03743"
"group_1680","","hypothetical protein","4","4","1","213","3","","","","356","356","356","KKNACEHJ_02900","OJEIIDGO_03035","EDDCBIGE_03304","KOKFBEGO_03382"
"group_1681","","hypothetical protein","4","4","1","26","23","","","","764","764","764","KKNACEHJ_02719","OJEIIDGO_00978","EDDCBIGE_02254","KOKFBEGO_01889"
"recA","","Protein RecA","4","4","1","226","4","","","","1067","1067","1067","KKNACEHJ_03713","OJEIIDGO_00467","EDDCBIGE_03315","KOKFBEGO_03275"
"group_1683","","hypothetical protein","4","4","1","3","9","","","","533","533","533","KKNACEHJ_00115","OJEIIDGO_03016","EDDCBIGE_00684","KOKFBEGO_00840"
"group_1684","","hypothetical protein","4","4","1","2","19","","","","728","728","728","KKNACEHJ_00293","OJEIIDGO_01616","EDDCBIGE_02299","KOKFBEGO_02211"
"group_1685","","putative protein","4","4","1","3","27","","","","698","698","698","KKNACEHJ_00097","OJEIIDGO_01285","EDDCBIGE_00702","KOKFBEGO_02103"
"group_1686","","hypothetical protein","4","4","1","29","6","","","","1814","1814","1814","KKNACEHJ_02538","OJEIIDGO_03104","EDDCBIGE_00973","KOKFBEGO_00678"
"moaA1","","GTP 3',8-cyclase 1","4","4","1","8","45","","","","1007","1007","1007","KKNACEHJ_01255","OJEIIDGO_03240","EDDCBIGE_00818","KOKFBEGO_00080"
"group_1688","","hypothetical protein","4","4","1","69","13","","","","182","182","182","KKNACEHJ_00140","OJEIIDGO_01888","EDDCBIGE_02241","KOKFBEGO_01812"
"group_1689","","hypothetical protein","4","4","1","6","52","","","","452","452","452","KKNACEHJ_02598","OJEIIDGO_03067","EDDCBIGE_00260","KOKFBEGO_01519"
"btuB_5","","Vitamin B12 transporter BtuB","4","4","1","87","12","","","","629","2288","1856","KKNACEHJ_03178","OJEIIDGO_00187","EDDCBIGE_01405","KOKFBEGO_02402"
"group_1690","","hypothetical protein","4","4","1","113","5","","","","230","230","230","KKNACEHJ_00037","OJEIIDGO_03450","EDDCBIGE_01182","KOKFBEGO_03031"
"group_1691","","hypothetical protein","4","4","1","117","5","","","","374","374","374","KKNACEHJ_02265","OJEIIDGO_03165","EDDCBIGE_01660","KOKFBEGO_01915"
"group_1692","","hypothetical protein","4","4","1","15","6","","","","563","563","563","KKNACEHJ_02286","OJEIIDGO_02384","EDDCBIGE_02034","KOKFBEGO_00987"
"selD","","Selenide, water dikinase","4","4","1","135","7","","","","1040","1040","1040","KKNACEHJ_03137","OJEIIDGO_00133","EDDCBIGE_02184","KOKFBEGO_01897"
"rsmE","","Ribosomal RNA small subunit methyltransferase E","4","4","1","168","2","","","","716","716","716","KKNACEHJ_01373","OJEIIDGO_03789","EDDCBIGE_01981","KOKFBEGO_02380"
"group_1695","","hypothetical protein","4","4","1","49","18","","","","398","398","398","KKNACEHJ_00260","OJEIIDGO_00012","EDDCBIGE_01002","KOKFBEGO_01394"
"group_1696","","hypothetical protein","4","4","1","10","15","","","","1115","1115","1115","KKNACEHJ_03082","OJEIIDGO_00860","EDDCBIGE_01249","KOKFBEGO_01585"
"group_1697","","hypothetical protein","4","4","1","223","4","","","","2039","2039","2039","KKNACEHJ_02767","OJEIIDGO_00738","EDDCBIGE_01298","KOKFBEGO_01201"
"group_1698","","hypothetical protein","4","4","1","97","5","","","","221","221","221","KKNACEHJ_01239","OJEIIDGO_02782","EDDCBIGE_02681","KOKFBEGO_03223"
"leuD1","","3-isopropylmalate dehydratase small subunit 1","4","4","1","2","61","","","","590","590","590","KKNACEHJ_01802","OJEIIDGO_02811","EDDCBIGE_02017","KOKFBEGO_01958"
"group_170","","hypothetical protein","4","4","1","194","1","","","","419","530","493","KKNACEHJ_03205","OJEIIDGO_01583","EDDCBIGE_03195","KOKFBEGO_02539"
"ubiX","","Flavin prenyltransferase UbiX","4","4","1","13","18","","","","680","680","680","KKNACEHJ_00749","OJEIIDGO_01159","EDDCBIGE_00017","KOKFBEGO_00140"
"group_1701","","hypothetical protein","4","4","1","59","7","","","","1277","1277","1277","KKNACEHJ_03698","OJEIIDGO_02213","EDDCBIGE_01773","KOKFBEGO_01554"
"group_1702","","hypothetical protein","4","4","1","147","1","","","","863","863","863","KKNACEHJ_02145","OJEIIDGO_00450","EDDCBIGE_02104","KOKFBEGO_03249"
"group_1703","","hypothetical protein","4","4","1","1","60","","","","386","386","386","KKNACEHJ_01757","OJEIIDGO_03254","EDDCBIGE_03262","KOKFBEGO_02796"
"group_1704","","hypothetical protein","4","4","1","3","39","","","","578","578","578","KKNACEHJ_03040","OJEIIDGO_00127","EDDCBIGE_02470","KOKFBEGO_00207"
"uehB","","Ectoine/5-hydroxyectoine TRAP transporter small permease protein UehB","4","4","1","82","12","","","","491","491","491","KKNACEHJ_01045","OJEIIDGO_00605","EDDCBIGE_00742","KOKFBEGO_03266"
"recD_2","","RecBCD enzyme subunit RecD","4","4","1","35","19","","","","1910","1910","1910","KKNACEHJ_02854","OJEIIDGO_02916","EDDCBIGE_01234","KOKFBEGO_02713"
"group_1707","","hypothetical protein","4","4","1","139","7","","","","2306","2306","2306","KKNACEHJ_00905","OJEIIDGO_01119","EDDCBIGE_03267","KOKFBEGO_02435"
"cpoB_4","","Cell division coordinator CpoB","4","4","1","15","18","","","","3116","3116","3116","KKNACEHJ_00876","OJEIIDGO_02584","EDDCBIGE_02898","KOKFBEGO_02842"
"group_1709","","hypothetical protein","4","4","1","76","15","","","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","590","590","590","KKNACEHJ_03324","OJEIIDGO_01053","EDDCBIGE_02070","KOKFBEGO_03626"
"group_171","","TonB-dependent receptor P3","4","4","1","9","11","","","","1394","3179","2312","KKNACEHJ_03216","OJEIIDGO_03411","EDDCBIGE_00188","KOKFBEGO_00867"
"group_1710","","hypothetical protein","4","4","1","14","21","","","","368","368","368","KKNACEHJ_01684","OJEIIDGO_01143","EDDCBIGE_01374","KOKFBEGO_00165"
"group_1711","","hypothetical protein","4","4","1","28","24","","","","1946","1946","1946","KKNACEHJ_03015","OJEIIDGO_02897","EDDCBIGE_00581","KOKFBEGO_00299"
"yddE","","putative isomerase YddE","4","4","1","231","1","","","","797","797","797","KKNACEHJ_03570","OJEIIDGO_02862","EDDCBIGE_03318","KOKFBEGO_03206"
"group_1713","","hypothetical protein","4","4","1","7","35","","","","170","170","170","KKNACEHJ_01010","OJEIIDGO_02991","EDDCBIGE_01505","KOKFBEGO_02899"
"asnS","","Asparagine--tRNA ligase","4","4","1","18","32","","","","1469","1469","1469","KKNACEHJ_01864","OJEIIDGO_03383","EDDCBIGE_01307","KOKFBEGO_01206"
"group_1715","","hypothetical protein","4","4","1","12","3","","","","818","818","818","KKNACEHJ_01307","OJEIIDGO_02128","EDDCBIGE_02082","KOKFBEGO_01749"
"group_1716","","hypothetical protein","4","4","1","161","8","","","","806","806","806","KKNACEHJ_00584","OJEIIDGO_01648","EDDCBIGE_03340","KOKFBEGO_03297"
"sigK","","ECF RNA polymerase sigma factor SigK","4","4","1","132","5","","","","584","584","584","KKNACEHJ_00675","OJEIIDGO_03597","EDDCBIGE_02497","KOKFBEGO_02003"
"group_1718","","hypothetical protein","4","4","1","142","7","","","","884","884","884","KKNACEHJ_00027","OJEIIDGO_02855","EDDCBIGE_01899","KOKFBEGO_01784"
"btuD_4","","Vitamin B12 import ATP-binding protein BtuD","4","4","1","110","13","","","","1292","1292","1292","KKNACEHJ_00223","OJEIIDGO_02139","EDDCBIGE_01737","KOKFBEGO_01250"
"group_172","","hypothetical protein","4","4","1","185","3","","","","611","755","660","KKNACEHJ_03270","OJEIIDGO_00678","EDDCBIGE_02852","KOKFBEGO_03113"
"group_1720","","hypothetical protein","4","4","1","9","4","","","","575","575","575","KKNACEHJ_03212","OJEIIDGO_03766","EDDCBIGE_00184","KOKFBEGO_02853"
"group_1721","","hypothetical protein","4","4","1","81","9","","","","977","977","977","KKNACEHJ_00664","OJEIIDGO_03317","EDDCBIGE_01014","KOKFBEGO_00947"
"hisC_1","","Histidinol-phosphate aminotransferase","4","4","1","83","6","","","","1034","1034","1034","KKNACEHJ_02554","OJEIIDGO_01856","EDDCBIGE_01076","KOKFBEGO_01973"
"group_1723","","hypothetical protein","4","4","1","28","8","","","","572","572","572","KKNACEHJ_02528","OJEIIDGO_01821","EDDCBIGE_01216","KOKFBEGO_01372"
"group_1724","","hypothetical protein","4","4","1","10","38","","","","593","593","593","KKNACEHJ_01906","OJEIIDGO_03980","EDDCBIGE_00132","KOKFBEGO_00104"
"group_1725","","hypothetical protein","4","4","1","261","1","","","","458","458","458","KKNACEHJ_00046","OJEIIDGO_00316","EDDCBIGE_03200","KOKFBEGO_03161"
"group_1726","","hypothetical protein","4","4","1","30","23","","","","1589","1589","1589","KKNACEHJ_01502","OJEIIDGO_00150","EDDCBIGE_00523","KOKFBEGO_00697"
"group_1727","","hypothetical protein","4","4","1","119","10","","","","398","398","398","KKNACEHJ_00792","OJEIIDGO_03518","EDDCBIGE_03283","KOKFBEGO_03235"
"trpD","","Anthranilate phosphoribosyltransferase","4","4","1","4","39","","","","995","995","995","KKNACEHJ_00972","OJEIIDGO_00526","EDDCBIGE_00084","KOKFBEGO_00014"
"group_1729","","hypothetical protein","4","4","1","201","1","","","","662","662","662","KKNACEHJ_03266","OJEIIDGO_02407","EDDCBIGE_03036","KOKFBEGO_02997"
"group_1730","","hypothetical protein","4","4","1","17","7","","","","203","203","203","KKNACEHJ_00602","OJEIIDGO_03868","EDDCBIGE_00048","KOKFBEGO_02905"
"group_1731","","hypothetical protein","4","4","1","9","33","","","","221","221","221","KKNACEHJ_00421","OJEIIDGO_00242","EDDCBIGE_00479","KOKFBEGO_00309"
"group_1732","","hypothetical protein","4","4","1","67","13","","","","602","602","602","KKNACEHJ_01162","OJEIIDGO_02828","EDDCBIGE_01479","KOKFBEGO_01824"
"group_1733","","hypothetical protein","4","4","1","7","26","","","","356","356","356","KKNACEHJ_03394","OJEIIDGO_02566","EDDCBIGE_00224","KOKFBEGO_03051"
"uxuA","","Mannonate dehydratase","4","4","1","206","1","","","","1208","1208","1208","KKNACEHJ_02062","OJEIIDGO_01640","EDDCBIGE_02945","KOKFBEGO_02984"
"group_1735","","Immunogenic protein MPT70","4","4","1","75","3","","","","407","407","407","KKNACEHJ_03787","OJEIIDGO_01206","EDDCBIGE_02714","KOKFBEGO_01273"
"atoC","","Regulatory protein AtoC","4","4","1","277","2","","","Investigate","1322","1322","1322","KKNACEHJ_02152","OJEIIDGO_00102","EDDCBIGE_03691","KOKFBEGO_03725"
"envC","","Murein hydrolase activator EnvC","4","4","1","49","14","","","","1187","1187","1187","KKNACEHJ_00256","OJEIIDGO_00008","EDDCBIGE_00998","KOKFBEGO_01398"
"cysG","","Siroheme synthase","4","4","1","27","11","","","","647","647","647","KKNACEHJ_02274","OJEIIDGO_02161","EDDCBIGE_00904","KOKFBEGO_00492"
"group_1739","","hypothetical protein","4","4","1","38","12","","","","1040","1040","1040","KKNACEHJ_03146","OJEIIDGO_02599","EDDCBIGE_01464","KOKFBEGO_02366"
"group_1740","","hypothetical protein","4","4","1","199","6","","","","416","416","416","KKNACEHJ_02838","OJEIIDGO_02802","EDDCBIGE_03420","KOKFBEGO_03176"
"cydA","","Cytochrome bd-I ubiquinol oxidase subunit 1","4","4","1","22","20","","","","1379","1379","1379","KKNACEHJ_03334","OJEIIDGO_03237","EDDCBIGE_00911","KOKFBEGO_00592"
"des","","Fatty acid desaturase","4","4","1","152","4","","","","1073","1073","1073","KKNACEHJ_01104","OJEIIDGO_03781","EDDCBIGE_01555","KOKFBEGO_01427"
"ppm1","","Polyprenol monophosphomannose synthase","4","4","1","203","6","","","","755","755","755","KKNACEHJ_02016","OJEIIDGO_02319","EDDCBIGE_01992","KOKFBEGO_01869"
"rplO","","50S ribosomal protein L15","4","4","1","16","11","","","","449","449","449","KKNACEHJ_02004","OJEIIDGO_01369","EDDCBIGE_01677","KOKFBEGO_00508"
"group_1745","","hypothetical protein","4","4","1","51","5","","","","788","788","788","KKNACEHJ_01229","OJEIIDGO_00642","EDDCBIGE_01810","KOKFBEGO_00911"
"thcC","","Rhodocoxin","4","4","1","34","12","","","","317","317","317","KKNACEHJ_01388","OJEIIDGO_03049","EDDCBIGE_01887","KOKFBEGO_00576"
"group_1747","","hypothetical protein","4","4","1","37","14","","","","575","575","575","KKNACEHJ_03628","OJEIIDGO_03700","EDDCBIGE_01200","KOKFBEGO_01269"
"group_1748","","hypothetical protein","4","4","1","17","25","","","","218","218","218","KKNACEHJ_03127","OJEIIDGO_02646","EDDCBIGE_00073","KOKFBEGO_01045"
"group_1749","","hypothetical protein","4","4","1","81","8","","","","713","713","713","KKNACEHJ_00665","OJEIIDGO_03318","EDDCBIGE_01013","KOKFBEGO_00946"
"group_1750","","hypothetical protein","4","4","1","83","7","","","","1838","1838","1838","KKNACEHJ_02555","OJEIIDGO_01857","EDDCBIGE_01075","KOKFBEGO_01972"
"rplC","","50S ribosomal protein L3","4","4","1","16","30","","","","626","626","626","KKNACEHJ_02131","OJEIIDGO_01388","EDDCBIGE_01635","KOKFBEGO_00527"
"rsmD","","Ribosomal RNA small subunit methyltransferase D","4","4","1","48","9","","","","536","536","536","KKNACEHJ_02703","OJEIIDGO_00506","EDDCBIGE_02770","KOKFBEGO_02571"
"tcdA","","tRNA threonylcarbamoyladenosine dehydratase","4","4","1","5","16","","","","725","725","725","KKNACEHJ_00686","OJEIIDGO_02664","EDDCBIGE_01022","KOKFBEGO_01287"
"group_1754","","hypothetical protein","4","4","1","98","9","","","","1139","1139","1139","KKNACEHJ_01874","OJEIIDGO_03853","EDDCBIGE_02530","KOKFBEGO_01510"
"group_1755","","hypothetical protein","4","4","1","20","23","","","","281","281","281","KKNACEHJ_01915","OJEIIDGO_01879","EDDCBIGE_00220","KOKFBEGO_00246"
"hemA","","Glutamyl-tRNA reductase","4","4","1","22","2","","","","1223","1223","1223","KKNACEHJ_02633","OJEIIDGO_00281","EDDCBIGE_00955","KOKFBEGO_03263"
"group_1757","","hypothetical protein","4","4","1","38","1","","","","1502","1502","1502","KKNACEHJ_03761","OJEIIDGO_03354","EDDCBIGE_03358","KOKFBEGO_03304"
"queA","","S-adenosylmethionine:tRNA ribosyltransferase-isomerase","4","4","1","97","10","","","","1064","1064","1064","KKNACEHJ_01238","OJEIIDGO_02783","EDDCBIGE_02680","KOKFBEGO_03222"
"miaB","","tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase","4","4","1","61","14","","","","1442","1442","1442","KKNACEHJ_02191","OJEIIDGO_01865","EDDCBIGE_00317","KOKFBEGO_01828"
"group_176","","hypothetical protein","4","4","1","134","6","","","","1349","7508","5968","KKNACEHJ_03299","OJEIIDGO_01996","EDDCBIGE_00588","KOKFBEGO_01447"
"sasA_4","","Adaptive-response sensory-kinase SasA","4","4","1","59","8","","","","1490","1490","1490","KKNACEHJ_03699","OJEIIDGO_02214","EDDCBIGE_01772","KOKFBEGO_02239"
"group_1761","","hypothetical protein","4","4","1","186","3","","","","551","551","551","KKNACEHJ_01586","OJEIIDGO_01509","EDDCBIGE_02793","KOKFBEGO_02731"
"dsbD_2","","Thiol:disulfide interchange protein DsbD","4","4","1","13","17","","","","545","545","545","KKNACEHJ_00748","OJEIIDGO_01160","EDDCBIGE_00016","KOKFBEGO_00141"
"group_1763","","hypothetical protein","4","4","1","91","13","","","","578","578","578","KKNACEHJ_02415","OJEIIDGO_02857","EDDCBIGE_02013","KOKFBEGO_01084"
"group_1764","","hypothetical protein","4","4","1","70","14","","","","632","632","632","KKNACEHJ_02693","OJEIIDGO_00575","EDDCBIGE_01644","KOKFBEGO_01365"
"purH","","Bifunctional purine biosynthesis protein PurH","4","4","1","15","28","","","","1598","1598","1598","KKNACEHJ_00866","OJEIIDGO_01833","EDDCBIGE_00920","KOKFBEGO_00777"
"group_1766","","hypothetical protein","4","4","1","100","4","","","","317","317","317","KKNACEHJ_00317","OJEIIDGO_02369","EDDCBIGE_01492","KOKFBEGO_03442"
"rsmA","","Ribosomal RNA small subunit methyltransferase A","4","4","1","41","3","","","","800","800","800","KKNACEHJ_00885","OJEIIDGO_02258","EDDCBIGE_01105","KOKFBEGO_00971"
"pncC","","Nicotinamide-nucleotide amidohydrolase PncC","4","4","1","60","19","","","","1262","1262","1262","KKNACEHJ_02937","OJEIIDGO_03346","EDDCBIGE_01781","KOKFBEGO_01654"
"rhaR_1","","HTH-type transcriptional activator RhaR","4","4","1","30","18","","","","911","911","911","KKNACEHJ_01497","OJEIIDGO_00145","EDDCBIGE_00528","KOKFBEGO_00692"
"pspB","","Putative phosphoserine phosphatase 2","4","4","1","6","48","","","","620","620","620","KKNACEHJ_03359","OJEIIDGO_03071","EDDCBIGE_02923","KOKFBEGO_03362"
"group_1771","","hypothetical protein","4","4","1","153","3","","","","1202","1202","1202","KKNACEHJ_03823","OJEIIDGO_02944","EDDCBIGE_02054","KOKFBEGO_03348"
"accC","","Biotin carboxylase","4","4","1","6","20","","","","1340","1340","1340","KKNACEHJ_02440","OJEIIDGO_01407","EDDCBIGE_02222","KOKFBEGO_02503"
"trxA_1","","Thioredoxin","4","4","1","240","1","","","","326","326","326","KKNACEHJ_02829","OJEIIDGO_00896","EDDCBIGE_03154","KOKFBEGO_03102"
"group_1774","","hypothetical protein","4","4","1","2","41","","","","1250","1250","1250","KKNACEHJ_02353","OJEIIDGO_01532","EDDCBIGE_00414","KOKFBEGO_00744"
"group_1775","","hypothetical protein","4","4","1","122","11","","","","278","278","278","KKNACEHJ_01982","OJEIIDGO_02964","EDDCBIGE_03592","KOKFBEGO_02111"
"dctA","","C4-dicarboxylate transport protein","4","4","1","58","6","","","","1214","1214","1214","KKNACEHJ_01437","OJEIIDGO_00431","EDDCBIGE_00406","KOKFBEGO_01057"
"group_1777","","hypothetical protein","4","4","1","12","27","","","","4007","4007","4007","KKNACEHJ_02777","OJEIIDGO_01946","EDDCBIGE_00304","KOKFBEGO_00458"
